#Name    TICID
Kepler-569b 48353203
Kepler-570b 407001624
Kepler-571b 243271972
Kepler-572b 350738817
Kepler-573b 416266820
Kepler-574b 406952542
Kepler-575b 121022533
Kepler-576b 139036554
Kepler-577b 378085037
Kepler-578b 121734474
Kepler-579b 138959504
Kepler-580b 237188565
Kepler-581b 184009313
Kepler-582b 169556162
Kepler-583b 123415040
Kepler-584b 158722119
Kepler-585b 158276273
Kepler-586b 275490218
Kepler-587b 158838923
Kepler-588b 164723136
Kepler-589b 123129910
Kepler-590b 27905500
Kepler-591b 405686888
Kepler-592b 377782184
Kepler-593b 27391836
Kepler-594b 299087968
Kepler-596b 416267321
Kepler-597b 138214174
Kepler-599b 120686620
Kepler-6b 27916356
Kepler-600b 164646661
Kepler-601b 351801933
Kepler-602b 272180918
Kepler-604b 63212809
Kepler-606b 63286249
Kepler-607b 159579593
Kepler-608b 270786157
Kepler-609b 63126989
Kepler-61b 271537530
Kepler-611b 158113449
Kepler-612b 159723305
Kepler-613b 164407908
Kepler-614b 274017990
Kepler-615b 123492903
Kepler-617b 164557035
Kepler-618b 405719849
Kepler-620b 350737935
Kepler-621b 122706051
Kepler-622b 120254625
Kepler-623b 272842291
Kepler-624b 138972811
Kepler-626b 121734202
Kepler-627b 137413972
Kepler-628b 122447780
Kepler-629b 122063843
Kepler-63b 299158887
Kepler-631b 168816237
Kepler-632b 169181786
Kepler-633b 138969239
Kepler-634b 137089993
Kepler-635b 394174221
Kepler-637b 137626872
Kepler-638b 120420633
Kepler-639b 137409501
Kepler-640b 272180958
Kepler-641b 63006978
Kepler-642b 270705735
Kepler-643b 159311390
Kepler-644b 271669616
Kepler-645b 159381747
Kepler-646b 159441621
Kepler-648b 164560223
Kepler-649b 352012975
Kepler-650b 158934047
Kepler-651b 158415898
Kepler-652b 158660814
Kepler-654b 272843763
Kepler-655b 273044848
Kepler-656b 158731243
Kepler-657b 159643991
Kepler-658b 164456041
Kepler-659b 158489787
Kepler-66b 270790035
Kepler-660b 158662352
Kepler-661b 164557360
Kepler-662b 407002705
Kepler-663b 273681023
Kepler-664b 299033092
Kepler-665b 27988995
Kepler-666b 267989336
Kepler-667b 27530621
Kepler-668b 350813835
Kepler-669b 26541079
Kepler-67b 270855225
Kepler-670b 27990610
Kepler-671b 27084006
Kepler-672b 26491504
Kepler-673b 417657148
Kepler-674b 48528770
Kepler-675b 27006665
Kepler-676b 27776674
Kepler-677b 267746941
Kepler-678b 27533282
Kepler-679b 27766596
Kepler-680b 26473621
Kepler-681b 299217986
Kepler-682b 299161524
Kepler-683b 137149476
Kepler-684b 122607324
Kepler-685b 138364831
Kepler-686b 399794420
Kepler-687b 121988890
Kepler-688b 378085713
Kepler-689b 378086390
Kepler-690b 377918545
Kepler-691b 121787669
Kepler-692b 138728891
Kepler-694b 122713147
Kepler-695b 171974763
Kepler-696b 138219428
Kepler-697b 120042965
Kepler-698b 121729607
Kepler-699b 168811723
Kepler-7b 121660904
Kepler-700b 121114997
Kepler-701b 121795464
Kepler-702b 138430864
Kepler-703b 171968443
Kepler-704b 237157729
Kepler-705b 122066949
Kepler-706b 137342468
Kepler-707b 159217349
Kepler-708b 270706782
Kepler-709b 63122858
Kepler-710b 63120475
Kepler-711b 273234664
Kepler-713b 271762145
Kepler-714b 123499118
Kepler-715b 164552984
Kepler-717b 240183442
Kepler-718b 268924036
Kepler-719b 271767300
Kepler-720b 268159158
Kepler-721b 164726831
Kepler-723b 164786087
Kepler-724b 270521439
Kepler-725b 164652841
